client_id,process_step,Variation,time_diff_seconds
555,1,Test,7.0
647,1,Test,7.0
934,1,Test,142.0
1028,1,Control,49.0
1104,1,Control,0.0
1186,1,Control,11.0
1195,1,Control,33.0
1197,1,Control,4.0
1336,1,Test,25.0
1346,1,Test,159.0
1368,1,Control,0.0
1516,1,Test,136.0
1643,1,Test,148.0
1755,1,Test,127.00000000000001
1836,1,Test,83.0
1936,1,Test,105.0
2439,1,Control,0.0
2581,1,Control,0.0
3232,1,Test,14.0
3572,1,Test,10.0
3647,1,Control,14.0
3743,1,Control,13.0
4369,1,Test,11.0
4603,1,Test,5.0
4717,1,Test,28.0
4870,1,Test,5.0
5354,1,Control,19.0
5845,1,Test,19.0
6150,1,Test,0.0
6642,1,Control,11.0
6904,1,Test,8.0
6977,1,Control,30.000000000000004
7020,1,Control,51.0
7561,1,Test,29.0
7563,1,Test,163.0
7567,1,Control,36.0
7657,1,Test,6.0
7723,1,Test,26.0
7934,1,Test,30.000000000000004
8023,1,Test,6.0
8039,1,Control,109.0
8055,1,Test,22.0
8101,1,Control,56.0
8124,1,Control,0.0
8610,1,Test,18.0
8712,1,Test,73.0
8820,1,Test,11.0
9229,1,Control,17.0
9751,1,Test,25.0
9767,1,Control,117.0
9845,1,Control,0.0
9916,1,Test,7.0
10363,1,Test,56.0
11040,1,Test,8.0
11054,1,Control,135.0
11122,1,Control,55.0
11309,1,Test,10.0
11880,1,Test,114.0
12045,1,Control,11.0
12785,1,Test,23.0
13009,1,Control,42.0
13735,1,Test,11.0
14690,1,Test,95.0
14775,1,Control,0.0
15050,1,Test,66.0
15189,1,Test,8.0
15807,1,Test,10.0
16095,1,Control,7.0
16098,1,Test,5.0
16202,1,Control,21.0
16295,1,Test,83.0
16549,1,Control,35.0
16679,1,Control,90.0
16744,1,Control,18.0
16747,1,Control,8.0
16881,1,Test,0.0
17008,1,Control,50.0
17036,1,Control,18.0
17160,1,Control,30.0
17170,1,Test,26.0
17318,1,Test,15.000000000000002
17404,1,Test,7.0
18549,1,Test,4.0
18660,1,Control,10.0
19060,1,Test,14.0
19613,1,Control,0.0
19782,1,Control,32.0
19813,1,Control,13.0
19832,1,Control,39.0
20091,1,Control,40.0
20537,1,Control,37.0
20564,1,Test,14.0
20643,1,Test,7.0
20668,1,Test,7.0
20898,1,Control,0.0
21200,1,Test,12.0
21242,1,Control,4.0
21281,1,Test,48.0
21353,1,Control,22.0
21403,1,Test,72.0
21596,1,Test,21.0
21719,1,Control,16.0
21940,1,Control,126.0
21970,1,Control,23.0
22007,1,Test,14.0
22793,1,Test,11.0
22885,1,Control,67.0
23276,1,Control,22.0
23864,1,Control,95.0
23914,1,Test,14.0
24079,1,Control,47.0
24572,1,Test,9.0
24703,1,Test,10.0
24710,1,Control,27.0
24841,1,Test,24.0
25022,1,Test,39.0
25026,1,Test,11.0
25043,1,Control,8.0
25766,1,Control,38.0
26036,1,Test,3.0
26070,1,Test,35.0
26105,1,Test,51.0
26211,1,Control,52.0
26286,1,Control,40.0
27021,1,Control,28.0
27075,1,Test,9.0
27241,1,Control,12.0
27554,1,Control,6.0
27764,1,Test,69.0
27907,1,Test,4.0
27988,1,Control,163.0
28241,1,Test,16.0
28371,1,Test,14.0
28705,1,Control,72.0
28845,1,Control,19.0
29527,1,Test,15.000000000000002
29595,1,Control,8.0
30462,1,Test,0.0
31191,1,Control,65.0
31264,1,Control,6.0
31336,1,Test,9.0
31404,1,Test,12.0
31502,1,Control,11.0
31597,1,Test,165.0
31715,1,Control,34.0
31766,1,Test,160.0
32197,1,Control,5.0
32305,1,Control,74.0
32471,1,Test,27.0
32521,1,Test,29.000000000000004
32746,1,Test,68.0
32859,1,Control,63.00000000000001
33190,1,Control,15.000000000000002
33265,1,Test,22.0
33463,1,Control,11.0
33472,1,Test,7.0
33752,1,Test,9.0
34067,1,Control,90.0
34101,1,Test,31.0
34267,1,Control,11.0
34501,1,Control,11.0
34603,1,Control,10.0
34608,1,Test,22.0
34631,1,Control,14.0
35010,1,Test,15.000000000000002
35087,1,Control,19.0
35091,1,Test,8.0
35138,1,Test,18.0
35181,1,Test,115.0
35257,1,Control,9.0
35346,1,Control,27.0
35417,1,Control,10.0
35476,1,Test,92.0
35922,1,Test,36.0
36109,1,Control,83.0
36342,1,Test,13.0
36363,1,Test,5.0
36430,1,Test,39.0
36432,1,Test,14.0
36986,1,Test,133.0
37064,1,Control,53.0
37295,1,Control,24.0
37408,1,Control,83.0
37667,1,Test,9.0
37691,1,Test,22.0
37897,1,Test,11.0
38275,1,Test,22.0
38283,1,Test,127.0
38340,1,Test,10.0
38551,1,Test,39.0
38685,1,Control,65.0
38714,1,Control,8.0
38775,1,Test,95.0
38930,1,Control,13.0
38963,1,Control,37.0
39004,1,Test,0.0
39075,1,Control,34.0
39566,1,Test,58.00000000000001
40439,1,Test,5.0
41122,1,Test,6.0
41199,1,Test,13.0
41237,1,Test,13.0
41516,1,Control,5.0
41652,1,Control,26.0
41924,1,Test,49.0
42082,1,Control,33.0
42349,1,Test,7.0
42725,1,Test,10.0
43494,1,Control,105.0
43645,1,Test,6.0
43766,1,Control,6.0
44060,1,Control,39.0
44216,1,Control,108.0
44705,1,Test,41.0
44860,1,Control,22.0
44932,1,Test,10.0
44995,1,Test,15.000000000000002
45485,1,Test,67.0
45510,1,Test,9.0
46223,1,Control,16.0
46790,1,Test,7.0
46934,1,Test,24.0
47402,1,Control,6.0
47571,1,Control,13.0
47860,1,Test,129.0
48241,1,Control,84.0
48424,1,Control,19.0
48431,1,Control,8.0
48448,1,Test,6.0
48724,1,Test,97.0
49412,1,Control,8.0
49709,1,Test,51.0
50053,1,Test,10.0
50090,1,Test,12.0
50185,1,Control,6.0
50271,1,Control,30.000000000000004
50325,1,Test,7.0
50599,1,Test,25.0
50643,1,Control,9.0
50692,1,Control,0.0
51493,1,Test,6.0
51706,1,Control,55.0
51814,1,Control,48.0
51902,1,Control,7.0
52309,1,Test,71.0
52384,1,Control,0.0
52456,1,Control,56.0
52461,1,Control,22.0
52743,1,Test,35.0
52765,1,Control,24.0
53094,1,Control,27.0
53123,1,Control,15.000000000000002
53126,1,Control,6.0
53169,1,Control,0.0
53396,1,Test,8.0
53990,1,Control,62.00000000000001
54231,1,Test,12.0
54291,1,Control,9.0
54363,1,Control,15.000000000000002
54477,1,Control,0.0
54893,1,Test,3.0
55059,1,Test,10.0
55265,1,Test,10.0
55333,1,Test,3.0
55448,1,Control,40.0
56294,1,Test,13.0
56570,1,Test,95.0
56782,1,Control,71.0
56923,1,Test,27.0
58001,1,Control,55.0
58194,1,Test,7.0
58456,1,Control,53.0
58589,1,Control,38.0
58676,1,Control,61.00000000000001
58867,1,Test,7.0
58917,1,Control,67.0
58962,1,Test,8.0
59089,1,Control,51.0
59152,1,Test,7.0
59605,1,Control,37.0
59782,1,Control,75.0
59802,1,Test,24.0
59860,1,Control,45.0
60101,1,Test,8.0
60483,1,Test,7.0
60802,1,Test,25.0
60958,1,Test,31.000000000000004
61007,1,Test,125.0
61487,1,Test,26.0
61650,1,Test,145.0
61961,1,Test,20.0
62058,1,Control,0.0
62284,1,Test,107.0
62498,1,Control,0.0
62503,1,Control,143.0
62754,1,Test,115.00000000000001
62791,1,Test,13.0
62805,1,Test,8.0
62837,1,Control,35.0
63001,1,Control,3.0
63377,1,Control,16.0
63507,1,Test,4.0
63879,1,Test,119.0
63955,1,Test,13.0
64020,1,Control,125.00000000000001
64058,1,Test,16.0
64871,1,Control,11.0
64885,1,Test,14.0
64964,1,Control,34.0
65221,1,Test,10.0
65716,1,Control,58.00000000000001
65845,1,Control,153.0
66160,1,Test,7.0
66169,1,Control,46.00000000000001
66539,1,Test,7.0
66543,1,Control,27.0
66930,1,Test,9.0
67390,1,Test,124.0
67452,1,Test,40.0
67845,1,Test,42.0
67925,1,Test,107.0
